sno,data,link,date
112,"['at Navale bridge area', ['78.7919637299578', '27.612141890738172'], ['73.56872303006874', '18.02152696581961']]",https://timesofindia.indiatimes.com/city/pune/at-least-48-vehicles-damaged-in-road-accident-on-pune-bengaluru-highway/articleshow/95645439.cms,"Nov 21, 2022"
113,"['at Bhivsenkhori', ['79.08512075281868', '21.178256805685002']]",https://timesofindia.indiatimes.com/city/nagpur/rivals-bump-off-2-bootleggers-make-it-look-like-road-accident/articleshow/96352427.cms,"Dec 20, 2022"
114,"[['78.7919637299578', '27.612141890738172'], ['76.53825124978802', '20.19592356186027']]",https://timesofindia.indiatimes.com/city/thane/maharashtra-four-including-three-students-injured-in-road-accident-in-kalyan/articleshow/94946090.cms,"Oct 19, 2022"
115,"[['79.08512075281868', '21.178256805685002']]",https://timesofindia.indiatimes.com/city/nagpur/four-of-family-killed-after-falling-off-flyover-as-suv-hits-their-motorcycle-in-nagpur-driver-held/articleshow/94111273.cms,"Sep 10, 2022"
116,"[['72.956655845', '19.2754316894']]",https://timesofindia.indiatimes.com/city/nashik/nashik-two-killed-in-road-accidents/articleshow/92447359.cms,"Jun 25, 2022"
117,['near Dogheshwar Ghat'],https://timesofindia.indiatimes.com/city/nashik/tractor-driver-held-in-road-accident-case/articleshow/93335761.cms," Aug 4, 2022"
118,"[['73.34882129793546', '18.764206674812016']]",https://timesofindia.indiatimes.com/city/mumbai/maharashtra-cid-to-probe-ex-mlc-vinayak-metes-death-in-road-accident/articleshow/93621246.cms,"Aug 17, 2022"
119,[],https://timesofindia.indiatimes.com/city/thane/thane-chemical-tanker-hits-median-on-ghodbunder-road-traffic-affected-temporarily/articleshow/91630053.cms,"May 18, 2022"
120,"[['78.7919637299578', '27.612141890738172'], ['73.64176647403673', '16.956445837920107']]",https://timesofindia.indiatimes.com/city/mumbai/mumbai-1-killed-1-injured-in-road-accident-on-western-express-highway/articleshow/94279743.cms,"Sep 18, 2022"
121,"[['74.07111211006567', '20.25956912789941']]",https://timesofindia.indiatimes.com/city/nashik/3-killed-in-road-accident-on-nashik-peth-highway/articleshow/92609914.cms," Jul 2, 2022"
122,"[['74.21641126368108', '21.549817918879782']]",https://timesofindia.indiatimes.com/city/nashik/private-bus-driver-18-month-old-girl-killed-in-road-accident/articleshow/94141413.cms,"Sep 12, 2022"
123,"[['74.07111211006567', '20.25956912789941'], ['87.98753600635462', '25.469097275829384'], ['73.9911202809334', '19.953572953208575'], ['76.13460714642906', '32.067717934697825'], ['76.10081099336502', '19.911805732010226']]",https://timesofindia.indiatimes.com/city/nashik/4-year-old-leopard-dies-in-road-accident-cremated/articleshow/93147428.cms,"Jul 27, 2022"
124,"[['71.84995314558398', '23.854521239691'], 'on Ambad Link Road', ['86.04073827702109', '25.88129673984147']]",https://timesofindia.indiatimes.com/city/nashik/17-year-old-killed-in-road-accident/articleshow/92400686.cms,"Jun 23, 2022"
125,[],https://timesofindia.indiatimes.com/city/pune/two-bike-borne-men-killed-in-road-accident-on-pune-nashik-highway/articleshow/93974013.cms," Sep 3, 2022"
126,"[['74.07111211006567', '20.25956912789941']]",https://timesofindia.indiatimes.com/city/nashik/20-road-accident-deaths-in-nashik-city-in-may/articleshow/92240225.cms,"Jun 16, 2022"
127,[],https://timesofindia.indiatimes.com/city/thane/thane-kin-of-man-killed-in-road-accident-in-2020-get-rs-20-lakh-as-compensation/articleshow/94622952.cms," Oct 3, 2022"
128,[],https://timesofindia.indiatimes.com/city/mumbai/mumbais-road-mishap-deaths-rise-11-in-1-year-maharashtras-maximum-in-5-years/articleshow/92348506.cms,"Jun 21, 2022"
129,"[['73.82731780696616', '19.96836155744136']]",https://timesofindia.indiatimes.com/city/nashik/2-killed-in-separate-road-accidents-in-nashik-city/articleshow/91775755.cms,"May 25, 2022"
130,"[['73.13016967599597', '19.329560918629795']]",https://timesofindia.indiatimes.com/city/nashik/17-year-old-pillion-rider-dies-in-road-accident/articleshow/92349523.cms,"Jun 21, 2022"
131,"[['78.96556537689199', '19.96985167705689']]",https://timesofindia.indiatimes.com/city/nashik/two-bikers-killed-in-road-accident-in-wani/articleshow/90923285.cms,"Apr 19, 2022"
132,"['on Gangapur Road', 'near Hotel Gammat Jammat']",https://timesofindia.indiatimes.com/city/nashik/18-yr-old-girl-killed-in-road-accident-6-seriously-injured/articleshow/93359998.cms," Aug 5, 2022"
134,"[['74.4237939', '20.19319860038069']]",https://timesofindia.indiatimes.com/city/nashik/4-killed-1-injured-in-road-accident-in-manmad/articleshow/91503189.cms,"May 12, 2022"
135,['on Umrer Road'],https://timesofindia.indiatimes.com/city/nagpur/maharashtra-five-killed-in-road-accident-near-umargaon/articleshow/91384313.cms," May 7, 2022"
136,"[['79.67672769999999', '20.06512240037531']]",https://timesofindia.indiatimes.com/city/nagpur/maharashtra-nine-charred-to-death-as-fire-breaks-out-after-tanker-truck-collision-in-chandrapur/articleshow/91682443.cms,"May 20, 2022"
137,"[['71.84995314558398', '23.854521239691'], ['73.07375991682007', '19.125619727341167'], ['73.01923001143297', '19.793999718639288']]",https://timesofindia.indiatimes.com/city/thane/tanker-overturns-on-mumbai-ahmedabad-highway-in-palghar/articleshow/91659565.cms,"May 20, 2022"
